patientID,read1,read2,sampleType
Brior4_pre2,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013533/DNA013533_S4_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013533/DNA013533_S4_R2_001.fastq.gz,tumor
Brior4_pre2,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013533/DNA013533_S4_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013533/DNA013533_S4_R2_001.fastq.gz,tumor
Brior4_post,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R2_001.fastq.gz,normal
Brior4_post,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R2_001.fastq.gz,normal
Brior4_post,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013494/DNA013494_S5_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013494/DNA013494_S5_R2_001.fastq.gz,tumor
Brior4_post,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013494/DNA013494_S5_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013494/DNA013494_S5_R2_001.fastq.gz,tumor
Brior5_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R2_001.fastq.gz,normal
Brior5_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R2_001.fastq.gz,normal
Brior5_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013536/DNA013536_S1_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013536/DNA013536_S1_R2_001.fastq.gz,tumor
Brior5_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013536/DNA013536_S1_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013536/DNA013536_S1_R2_001.fastq.gz,tumor
Brior5_pre2,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R2_001.fastq.gz,normal
Brior5_pre2,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G05/G05_S14_R2_001.fastq.gz,normal
Brior5_pre2,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013535/DNA013535_S2_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013535/DNA013535_S2_R2_001.fastq.gz,tumor
Brior5_pre2,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013535/DNA013535_S2_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013535/DNA013535_S2_R2_001.fastq.gz,tumor
Brior6_post,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G06/G06_S15_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G06/G06_S15_R2_001.fastq.gz,normal
Brior6_post,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G06/G06_S15_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G06/G06_S15_R2_001.fastq.gz,normal
Brior6_post,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA027202/DNA027202_S8_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA027202/DNA027202_S8_R2_001.fastq.gz,tumor
Brior6_post,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA027202/DNA027202_S8_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA027202/DNA027202_S8_R2_001.fastq.gz,tumor
Brior7_pre,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_17-479/17-479_S2_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_17-479/17-479_S2_R2_001.fastq.gz,normal
Brior7_pre,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA141928/DNA141928_S1_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA141928/DNA141928_S1_R2_001.fastq.gz,tumor
Brior8_pre,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-935/22-935_S6_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-935/22-935_S6_R2_001.fastq.gz,normal
Brior8_pre,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA141707/DNA141707_S3_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA141707/DNA141707_S3_R2_001.fastq.gz,tumor
Brior8_pre2,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-935/22-935_S6_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-935/22-935_S6_R2_001.fastq.gz,normal
Brior8_pre2,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA141708/DNA141708_S4_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA141708/DNA141708_S4_R2_001.fastq.gz,tumor
Brior8_post,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-935/22-935_S6_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-935/22-935_S6_R2_001.fastq.gz,normal
Brior8_post,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA138898/DNA138898_S5_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA138898/DNA138898_S5_R2_001.fastq.gz,tumor
Brior9_pre,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-954/22-954_S8_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_22-954/22-954_S8_R2_001.fastq.gz,normal
Brior9_pre,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA157815/DNA157815_S7_R1_001.fastq.gz,/pipeline/Archives/NextSeq/230707_VH01624_3_AACNWMTM5/ProjectFolders/Project_Jasmine-Kay/Sample_DNA157815/DNA157815_S7_R2_001.fastq.gz,tumor
